FlexPDE Version 7.22/W64  16:05:58 Nov 24 2023
(Times listed are wall-clock times, not charged CPU).

START C:\Users\student\Documents\254883\my file 2.1.pde  11:54:55 3/6/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Mesh dump written to C:\Users\student\Documents\254883\my file 2.1_output/my file 2.1_initialmesh.xfr
Using 1 Threads  Cubic speed Curvature 
 +00:00:02| Step 60 Time= 0.003468 Dt= 6.635e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.364e-4 MAX ERR= 0.001189 TIME ERR= 7.213e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 61 Time= 0.004297 Dt= 8.294e-4 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.187e-4 MAX ERR= 0.001158 TIME ERR= 7.381e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 62 Time= 0.005334 Dt= 0.001037 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.024e-4 MAX ERR= 0.001129 TIME ERR= 7.488e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 63 Time= 0.006630 Dt= 0.001296 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.879e-4 MAX ERR= 0.001104 TIME ERR= 7.632e-4 Orthomin/ILU=(19) MEM(KiB)=11746 
 +00:00:02| Step 64 Time= 0.008250 Dt= 0.001620 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.755e-4 MAX ERR= 0.001083 TIME ERR= 7.925e-4 Orthomin/ILU=(21) MEM(KiB)=11746 
 +00:00:02| Step 65 Time= 0.010275 Dt= 0.002025 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.658e-4 MAX ERR= 0.001067 TIME ERR= 8.203e-4 Orthomin/ILU=(21) MEM(KiB)=11746 
 +00:00:02| Step 66 Time= 0.012300 Dt= 0.002025 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.601e-4 MAX ERR= 0.001058 TIME ERR= 4.810e-4 Orthomin/ILU=(21) MEM(KiB)=11746 
 +00:00:02| Step 67 Time= 0.014831 Dt= 0.002531 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.562e-4 MAX ERR= 0.001053 TIME ERR= 5.191e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 68 Time= 0.017995 Dt= 0.003164 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.544e-4 MAX ERR= 0.001051 TIME ERR= 5.375e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 69 Time= 0.021949 Dt= 0.003955 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.548e-4 MAX ERR= 0.001054 TIME ERR= 6.681e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 70 Time= 0.026893 Dt= 0.004944 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.578e-4 MAX ERR= 0.001061 TIME ERR= 8.226e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 71 Time= 0.031836 Dt= 0.004944 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.625e-4 MAX ERR= 0.001072 TIME ERR= 5.540e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 72 Time= 0.038016 Dt= 0.006179 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.695e-4 MAX ERR= 0.001086 TIME ERR= 6.729e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 73 Time= 0.045740 Dt= 0.007724 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.789e-4 MAX ERR= 0.001105 TIME ERR= 7.292e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 74 Time= 0.055396 Dt= 0.009655 Nodes=219 Cells=389 DOF=1822 RMS ERR= 5.905e-4 MAX ERR= 0.001128 TIME ERR= 8.241e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 75 Time= 0.065051 Dt= 0.009655 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.012e-4 MAX ERR= 0.001149 TIME ERR= 5.171e-4 Orthomin/ILU=(22) MEM(KiB)=11746 
 +00:00:02| Step 76 Time= 0.077120 Dt= 0.012069 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.128e-4 MAX ERR= 0.001171 TIME ERR= 5.676e-4 Orthomin/ILU=(23) MEM(KiB)=11746 
 +00:00:02| Step 77 Time= 0.092207 Dt= 0.015087 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.244e-4 MAX ERR= 0.001193 TIME ERR= 5.213e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 78 Time= 0.111065 Dt= 0.018858 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.353e-4 MAX ERR= 0.001214 TIME ERR= 5.224e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 79 Time= 0.134637 Dt= 0.023573 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.447e-4 MAX ERR= 0.001232 TIME ERR= 6.783e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
 +00:00:03| Step 80 Time= 0.164103 Dt= 0.029466 Nodes=219 Cells=389 DOF=1822 RMS ERR= 6.518e-4 MAX ERR= 0.001246 TIME ERR= 9.393e-4 Orthomin/ILU=(24) MEM(KiB)=11746 
